name,class,adduct,mzmin,mzmax,rtmin,rtmax
"15:0-18:1-d7-15:0","TG","M+NH4","829.7999599","829.8050937","926.1260001","932.2879028"
"15:0-18:1-d7-15:0","TG","M+Na","834.7555418","834.7605134","926.1260001","932.2879028"
